EvtDate,Stkcd,company,llm,Trddt,ret,mv,idx_ret,date_diff,beta,exc_ret,adj_ret,Exc_ret,Adj_ret,cum_exc_ret,cum_adj_ret
2023-06-28,300188,美亚柏科,天擎,2023-06-20,0.063059,18924536.35,0.01858635968016644,-8,1.1237231136836912,0.04447264031983356,0.04217307802815835,1.0444726403198337,1.0421730780281584,-0.061389698293538464,-0.07339506203384061
2023-06-28,300188,美亚柏科,天擎,2023-06-21,-0.081898,17374650.86,-0.046351580612378644,-7,1.1237231136836912,-0.035546419387621354,-0.029811657510097254,0.9644535806123786,0.9701883424899027,-0.09475393371953822,-0.10101869109165273
2023-06-28,300188,美亚柏科,天擎,2023-06-26,-0.149646,14774609.32,-0.052515377298340625,-2,1.1237231136836912,-0.09713062270165937,-0.09063325670603484,0.9028693772983406,0.9093667432939652,-0.18268104783558714,-0.18249629483587015
2023-06-28,300188,美亚柏科,天擎,2023-06-27,0.017647,15035337.72,0.007808064546642702,-1,1.1237231136836912,0.009838935453357298,0.008872897395803424,1.0098389354533572,1.0088728973958034,-0.17463949942043588,-0.17524266833925972
2023-06-28,300188,美亚柏科,天擎,2023-06-28,-0.028902,14600790.39,-0.02312688514387963,0,1.1237231136836912,-0.00577511485612037,-0.002913784616314481,0.9942248851438796,0.9970862153836855,-0.17940605110898789,-0.1776458335644454
2023-06-28,300188,美亚柏科,天擎,2023-06-29,0.015873,14832548.97,0.008635985802046721,1,1.1237231136836912,0.0072370141979532805,0.006168543144795912,1.0072370141979532,1.006168543144796,-0.17346740105010916,-0.172573106408485
2023-06-28,300188,美亚柏科,天擎,2023-06-30,0.015137,15057065.09,-0.001112361256207339,2,1.1237231136836912,0.016249361256207337,0.016386986054366413,1.0162493612562074,1.0163869860543664,-0.1600367742597404,-0.1590140734421931
2023-06-28,300188,美亚柏科,天擎,2023-07-03,-0.018759,14774609.32,-0.011384021584431475,5,1.1237231136836912,-0.0073749784155685266,-0.005966511818900318,0.9926250215844314,0.9940334881810997,-0.16623148491944617,-0.16403182591252907
2023-06-28,300188,美亚柏科,天擎,2023-07-04,0.015196,14999125.44,0.010723049758504986,6,1.1237231136836912,0.004472950241495013,0.0031462611371876233,1.004472950241495,1.0031462611371875,-0.16250207983856557,-0.16140165173447207
2023-06-28,300188,美亚柏科,天擎,2023-07-05,-0.026074,14608032.84,-0.01304116343832295,7,1.1237231136836912,-0.01303283656167705,-0.011419343215029822,0.9869671634383229,0.9885806567849702,-0.17341705335277402,-0.17097789409287323
